Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Open Interest,Expiration Date,52 Week Range,asset_type,50 Day Average,200 Day Average,3-Mo Return,YTD Return,Market Cap,PE Ratio (TTM)
RLT=F,BTIC on E-mini Russell 2000 Ind,12.10,0.05,+0.41%,"3,370","3,808",,2023-06-14,,Futures,,,,,,
F*RLT.CME,BTIC on E-mini Russell 2000 Ind,12.10,0.05,+0.41%,"3,370",,,2023-06-14,,Futures,,,,,,
RLTM23.CME,BTIC on E-mini Russell 2000 Ind,12.10,0.05,+0.41%,"3,370",,,2023-06-14,,Futures,,,,,,
LEJ23.CME,"Live Cattle Futures,Apr-2023",171.425,0.35,+0.20%,"12,698",,"16,780",2023-04-27,,Futures,,,,,,
6NM23.CME,"New Zealand Dollar Futures,Jun-",0.6255,0.0006,+0.10%,"3,967",,"34,983",2023-06-15,,Futures,,,,,,
F*6N.CME,"New Zealand Dollar Futures,Jun-",0.6255,0.0006,+0.10%,"3,967",1.618M,"34,983",2023-06-15,,Futures,,,,,,
GFJ23.CME,"Feeder Cattle Futures,Apr-2023",200.80,0.18,+0.09%,"2,075",,"5,999",2023-04-27,,Futures,,,,,,
6N=F,"New Zealand Dollar Futures,Jun-",0.6255,0.0006,+0.10%,"3,967","28,925","34,983",2023-06-15,,Futures,,,,,,
GFU23.CME,"Feeder Cattle Futures,Sep-2023",225.525,0.175,+0.08%,"1,231",,"5,810",2023-09-28,,Futures,,,,,,
LEM23.CME,"Live Cattle Futures,Jun-2023",163.225,0.125,+0.08%,"37,369",,"145,726",2023-06-29,,Futures,,,,,,
F*LE.CME,"Live Cattle Futures,Jun-2023",171.425,0.35,+0.20%,"37,369",2.837M,"145,726",2023-06-29,,Futures,,,,,,
LE=F,"Live Cattle Futures,Jun-2023",171.425,0.35,+0.20%,"37,369","15,956","145,726",2023-06-29,,Futures,,,,,,
LEQ23.CME,"Live Cattle Futures,Aug-2023",162.375,0.075,+0.05%,"20,225",,"84,292",2023-08-30,,Futures,,,,,,
GFK23.CME,"Feeder Cattle Futures,May-2023",205.45,0.05,+0.02%,"8,847",,"23,322",2023-05-25,,Futures,,,,,,
GF=F,"Feeder Cattle Futures,May-2023",200.80,0.18,+0.09%,"8,847","3,587","23,322",2023-05-25,,Futures,,,,,,
F*GF.CME,"Feeder Cattle Futures,May-2023",200.80,0.18,+0.09%,"8,847","466,788","23,322",2023-05-25,,Futures,,,,,,
LEV23.CME,"Live Cattle Futures,Oct-2023",166.10,0.03,+0.02%,"11,982",,"38,568",2023-10-30,,Futures,,,,,,
GFQ23.CME,"Feeder Cattle Futures,Aug-2023",222.625,0.025,+0.01%,"4,897",,"19,329",2023-08-31,,Futures,,,,,,
6J=F,"Japanese Yen Futures,Jun-2023",0.0077,0.0,+0.03%,"23,348","41,125","163,145",2023-06-15,,Futures,,,,,,
6JM23.CME,"Japanese Yen Futures,Jun-2023",0.0077,0.0,+0.03%,"23,348",0,"163,145",2023-06-15,,Futures,,,,,,
SR3F23.CME,"Three-Month SOFR Futures,Jan-20",95.3875,0.0025,+0.00%,"2,000",,"30,313",2023-04-18,,Futures,,,,,,
F*NQT.CME,"BTIC E-mini Nasdaq-100 Futures,",110.35,0.0,0.00%,"3,796",,,2023-06-14,,Futures,,,,,,
F*ESR.CME,EURO SHORT-TERM RATE (?STR) FUT,97.05,0.01,+0.01%,"1,281",,286,2023-04-18,,Futures,,,,,,
ESR=F,EURO SHORT-TERM RATE (?STR) FUT,97.05,0.01,+0.01%,"1,281",,286,2023-04-18,,Futures,,,,,,
SEDU23.CME,SED Future SEP 2023 Trading Ses,0.0000,0.0,0.00%,"13,467",,,2023-09-17,,Futures,,,,,,
SDA=F,S&P 500 Annual Dividend Index F,68.20,0.0,0.00%,"1,034","1,357","69,071",2023-12-14,,Futures,,,,,,
F*SDA.CME,S&P 500 Annual Dividend Index F,68.20,0.0,0.00%,"1,034",132,"69,071",2023-12-14,,Futures,,,,,,
HEV23.CME,"Lean Hogs Futures,Oct-2023",83.05,0.0,0.00%,"2,856",,"30,500",2023-10-16,,Futures,,,,,,
HEQ23.CME,"Lean Hogs Futures,Aug-2023",92.225,0.0,0.00%,"4,498",,"27,778",2023-08-15,,Futures,,,,,,
F*SED.CME,SED Future SEP 2023 Trading Ses,0.0000,0.0,0.00%,"13,467",,,2023-09-17,,Futures,,,,,,
NQTM23.CME,"BTIC E-mini Nasdaq-100 Futures,",110.35,0.0,0.00%,"3,796",,,2023-06-14,,Futures,,,,,,
SED=F,SED Future SEP 2023 Trading Ses,0.0000,0.0,0.00%,"13,467",,,2023-09-17,,Futures,,,,,,
LETM23.CME,"Live Cattle TAS Futures,Jun-202",0.0000,0.0,0.00%,"1,366",,,2023-05-29,,Futures,,,,,,
ESRF23.CME,EURO SHORT-TERM RATE (?STR) FUT,97.555,0.0,0.00%,"1,281",,286,2023-04-18,,Futures,,,,,,
SDAZ23.CME,S&P 500 Annual Dividend Index F,68.20,0.0,0.00%,"1,034","1,409","69,071",2023-12-14,,Futures,,,,,,
F*LET.CME,"Live Cattle TAS Futures,Jun-202",-0.0250,-0.025,0.00%,"1,366","1,868",,2023-05-29,,Futures,,,,,,
LET=F,"Live Cattle TAS Futures,Jun-202",-0.0250,-0.025,0.00%,"1,366",799,,2023-05-29,,Futures,,,,,,
NQT=F,"BTIC E-mini Nasdaq-100 Futures,",110.35,0.0,0.00%,"3,796","5,288",,2023-06-14,,Futures,,,,,,
F*6J.CME,"Japanese Yen Futures,Jun-2023",0.0077,0.0,+0.03%,"23,348",8.046M,"163,145",2023-06-15,,Futures,,,,,,
SR3G23.CME,"Three-Month SOFR Futures,Feb-20",95.245,-0.002,-0.00%,85,,"13,884",2023-05-16,,Futures,,,,,,
F*SR1.CME,"One-Month SOFR Futures,May-2023",95.075,-0.01,-0.01%,"2,655",,"183,996",2023-05-31,,Futures,,,,,,
SR1K23.CME,"One-Month SOFR Futures,May-2023",95.075,-0.01,-0.01%,"2,655",,"183,996",2023-05-31,,Futures,,,,,,
SR3H23.CME,"Three-Month SOFR Futures,Mar-20",95.1225,-0.0075,-0.01%,"7,824",0,1.044M,2023-06-20,,Futures,,,,,,
SR1=F,"One-Month SOFR Futures,May-2023",95.075,-0.01,-0.01%,"2,655",,"183,996",2023-05-31,,Futures,,,,,,
F*GE.CME,"Eurodollar Futures,Apr-2023",94.82,-0.03,-0.03%,"1,418",,"143,981",2023-04-16,,Futures,,,,,,
LEZ23.CME,"Live Cattle Futures,Dec-2023",170.875,-0.025,-0.01%,"5,655",,"29,486",2023-12-28,,Futures,,,,,,
GEK23.CME,"Eurodollar Futures,May-2023",94.83,-0.01,-0.02%,"1,991",,"27,273",2023-05-14,,Futures,,,,,,
SR3M23.CME,"Three-Month SOFR Futures,Jun-20",95.15,-0.03,-0.03%,"24,768",,1.629M,2023-09-19,,Futures,,,,,,
SR3=F,"Three-Month SOFR Futures,Jun-20",95.15,-0.03,-0.03%,"24,768",37,1.629M,2023-09-19,,Futures,,,,,,
F*SR3.CME,"Three-Month SOFR Futures,Jun-20",95.15,-0.03,-0.03%,"24,768",37,1.629M,2023-09-19,,Futures,,,,,,
HEN23.CME,"Lean Hogs Futures,Jul-2023",91.25,-0.03,-0.03%,"5,235",,"24,783",2023-07-18,,Futures,,,,,,
SR3M26.CME,"Three-Month SOFR Futures,Jun-20",97.245,-0.035,-0.04%,"1,090",,"104,514",2026-09-15,,Futures,,,,,,
SR3Z26.CME,"Three-Month SOFR Futures,Dec-20",97.210,-0.03,-0.03%,823,,"122,861",2027-03-16,,Futures,,,,,,
SR3H27.CME,"Three-Month SOFR Futures,Mar-20",97.18,-0.03,-0.03%,919,,"81,890",2027-06-15,,Futures,,,,,,
SR3U23.CME,"Three-Month SOFR Futures,Sep-20",95.50,-0.04,-0.04%,"22,827",,1.092M,2023-12-19,,Futures,,,,,,
SR1Q23.CME,"One-Month SOFR Futures,Aug-2023",95.245,-0.03,-0.03%,"1,184",,"70,361",2023-08-31,,Futures,,,,,,
SR1N23.CME,"One-Month SOFR Futures,Jul-2023",95.115,-0.025,-0.03%,"1,324",,"63,077",2023-07-31,,Futures,,,,,,
GE=F,"Eurodollar Futures,Apr-2023",94.82,-0.03,-0.03%,"1,418","35,852","143,981",2023-04-16,,Futures,,,,,,
XAE=F,E-mini Energy Select Sector Fut,895.50,-0.3,-0.03%,"2,848","1,841","24,545",2023-06-15,,Futures,,,,,,
F*XAE.CME,E-mini Energy Select Sector Fut,895.50,-0.3,-0.03%,"2,848",,"24,545",2023-06-15,,Futures,,,,,,
XAEM23.CME,E-mini Energy Select Sector Fut,895.50,-0.3,-0.03%,"2,848",,"24,545",2023-06-15,,Futures,,,,,,
SR3H26.CME,"Three-Month SOFR Futures,Mar-20",97.260,-0.035,-0.04%,"2,050",,"155,390",2026-06-16,,Futures,,,,,,
SR3Z25.CME,"Three-Month SOFR Futures,Dec-20",97.280,-0.035,-0.04%,"3,236",,"260,666",2026-03-17,,Futures,,,,,,
SR3U25.CME,"Three-Month SOFR Futures,Sep-20",97.270,-0.035,-0.04%,"3,142",,"301,838",2025-12-16,,Futures,,,,,,
SR3Z23.CME,"Three-Month SOFR Futures,Dec-20",95.865,-0.04,-0.04%,"19,771",,1.187M,2024-03-19,,Futures,,,,,,
GEM23.CME,"Eurodollar Futures,Jun-2023",94.82,-0.03,-0.03%,"1,418","120,629","571,705",2023-06-19,,Futures,,,,,,
SR3M25.CME,"Three-Month SOFR Futures,Jun-20",97.25,-0.04,-0.04%,"4,366",,"366,139",2025-09-16,,Futures,,,,,,
SR3M24.CME,"Three-Month SOFR Futures,Jun-20",96.71,-0.06,-0.06%,"10,507",,"617,799",2024-09-17,,Futures,,,,,,
SR3H24.CME,"Three-Month SOFR Futures,Mar-20",96.315,-0.045,-0.05%,"11,430",,"640,259",2024-06-19,,Futures,,,,,,
LEJ24.CME,"Live Cattle Futures,Apr-2024",176.425,-0.075,-0.04%,"1,302",,"5,706",2024-04-29,,Futures,,,,,,
SR3H25.CME,"Three-Month SOFR Futures,Mar-20",97.230,-0.045,-0.05%,"3,861",,"320,352",2025-06-17,,Futures,,,,,,
SR3U24.CME,"Three-Month SOFR Futures,Sep-20",97.00,-0.06,-0.06%,"5,860",,"493,515",2024-12-17,,Futures,,,,,,
SR3Z24.CME,"Three-Month SOFR Futures,Dec-20",97.155,-0.05,-0.05%,"6,943",,"604,288",2025-03-18,,Futures,,,,,,
LEG24.CME,"Live Cattle Futures,Feb-2024",174.20,-0.1,-0.06%,"2,104",,"9,749",2024-02-28,,Futures,,,,,,
6SM23.CME,"Swiss Franc Futures,Jun-2023",1.1133,-0.0011,-0.10%,"2,419",0,"37,566",2023-06-15,,Futures,,,,,,
6S=F,"Swiss Franc Futures,Jun-2023",1.1133,-0.0011,-0.10%,"2,419","19,867","37,566",2023-06-15,,Futures,,,,,,
6AM23.CME,"Australian Dollar Futures,Jun-2",0.6693,-0.0005,-0.08%,"9,693",0,"155,175",2023-06-15,,Futures,,,,,,
F*HE.CME,"Lean Hogs Futures,Apr-2023",88.10,-0.08,-0.09%,"18,757",,"95,890",2023-04-18,,Futures,,,,,,
