symbol,name,asset_type
RDVY,First Trust Rising Dividend Achievers ETF,ETF
SOXX,iShares Semiconductor ETF,ETF
ESGD,iShares ESG Aware MSCI EAFE ETF,ETF
VYMI,Vanguard International High Dividend Yield Fund,ETF
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,ETF
VONE,Vanguard Russell 1000 Index Fund,ETF
CIBR,First Trust NASDAQ Cybersecurity ETF,ETF
LMBS,First Trust Low Duration Opportunities ETF,ETF
ONEQ,Fidelity Nasdaq Composite Index ETF,ETF
EMXC,iShares MSCI Emerging Markets ex China ETF,ETF
FV,First Trust Dorsey Wright Focus 5 ETF,ETF
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,ETF
ANGL,VanEck Fallen Angel High Yield Bond ETF,ETF
FTSL,First Trust Senior Loan Fund,ETF
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,ETF
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,ETF
PHO,Invesco Water Resources ETF,ETF
FALN,iShares Fallen Angels USD Bond ETF,ETF
PEY,Invesco High Yield Equity Dividend Achievers ETF,ETF
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,ETF
UITB,VictoryShares USAA Core Intermediate-Term Bond ETF,ETF
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,ETF
PID,Invesco International Dividend Achievers ETF,ETF
PKW,Invesco BuyBack Achievers ETF,ETF
FTXL,First Trust Nasdaq Semiconductor ETF,ETF
FNX,First Trust Mid Cap Core AlphaDEX Fund,ETF
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,ETF
FYX,First Trust Small Cap Core AlphaDEX Fund,ETF
PTNQ,Pacer Trendpilot 100 ETF,ETF
PLW,Invesco 1-30 Laddered Treasury ETF,ETF
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,ETF
DWAS,Invesco DWA SmallCap Momentum ETF,ETF
VRIG,Invesco Variable Rate Investment Grade ETF,ETF
IMCV,iShares Morningstar Mid-Cap Value ETF,ETF
USTB,VictoryShares USAA Core Short-Term Bond ETF,ETF
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,ETF
SDG,iShares MSCI Global Impact ETF,ETF
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,ETF
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,ETF
KBWP,Invesco KBW Property & Casualty Insurance ETF,ETF
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,ETF
PSCT,Invesco S&P SmallCap Information Technology ETF,ETF
FTXN,First Trust Nasdaq Oil & Gas ETF,ETF
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,ETF
TUR,iShares MSCI Turkey ETF,ETF
PTF,Invesco DWA Technology Momentum ETF,ETF
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,ETF
VSDA,VictoryShares Dividend Accelerator ETF,ETF
EWJV,iShares MSCI Japan Value ETF,ETF
PSC,Principal U.S. Small-Cap Multi-Factor ETF,ETF
FYT,First Trust Small Cap Value AlphaDEX Fund,ETF
PTH,Invesco DWA Healthcare Momentum ETF,ETF
IUS,Invesco RAFI Strategic US ETF,ETF
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,ETF
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,ETF
RTH,VanEck Retail ETF,ETF
DALI,First Trust Dorsey Wright DALI 1 ETF,ETF
PRN,Invesco DWA Industrials Momentum ETF,ETF
FCAL,First Trust California Municipal High Income ETF,ETF
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,ETF
NFTY,First Trust India NIFTY 50 Equal Weight ETF,ETF
IPKW,Invesco International BuyBack Achievers ETF,ETF
FLN,First Trust Latin America AlphaDEX Fund,ETF
BLCN,Siren Nasdaq NexGen Economy ETF,ETF
PSCI,Invesco S&P SmallCap Industrials ETF,ETF
PSCC,Invesco S&P SmallCap Consumer Staples ETF,ETF
ISDX,Invesco RAFI Strategic Developed ex-US ETF,ETF
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,ETF
IUSS,Invesco RAFI Strategic US Small Company ETF,ETF
PSET,Principal Quality ETF,ETF
BSDE,Invesco BulletShares (R) 2024 Emerging Markets Debt ETF,ETF
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,ETF
RNSC,First Trust Small Cap US Equity Select ETF,ETF
CSA,VictoryShares US Small Cap Volatility Wtd ETF,ETF
BSCE,Invesco BulletShares (R) 2023 USD Emerging Markets Debt ETF,ETF
RNDV,First Trust US Equity Dividend Select ETF,ETF
SQLV,Royce Quant Small-Cap Quality Value ETF,ETF
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ETF
BFIT,Global X Health & Wellness ETF,ETF
ISEM,Invesco RAFI Strategic Emerging Markets ETF,ETF
MFLX,First Trust Flexible Municipal High Income ETF,ETF
FXAIX,Fidelity 500 Index Fund,Mutual Fund
CLBAX,American Funds American Balanced Fund Class 529-A,Mutual Fund
RLBBX,American Funds American Balanced Fund,Mutual Fund
BALCX,American Funds American Balanced Fund,Mutual Fund
FBAFX,American Funds American Balanced Fund,Mutual Fund
FBONX,American Funds American Balanced Fund,Mutual Fund
RLBAX,American Funds American Balanced Fund,Mutual Fund
CLBCX,American Funds American Balanced Fund,Mutual Fund
RLBFX,American Funds American Balanced Fund Class R-5,Mutual Fund
AMBFX,American Balanced Fund,Mutual Fund
ABALX,American Funds American Balanced Fund Class A,Mutual Fund
BALFX,American Funds American Balanced Fund,Mutual Fund
RLBCX,American Funds American Balanced Fund Class R-3,Mutual Fund
CLBEX,American Funds American Balanced Fund Class 529-E,Mutual Fund
RLEFX,American Funds American Balanced Fund,Mutual Fund
RLBGX,American Funds American Balanced Fund Class R-6,Mutual Fund
RLBEX,American Funds American Balanced Fund,Mutual Fund
CLBFX,American Funds American Balanced Fund Class 529-F,Mutual Fund
RAMHX,American Funds American Balanced Fund Class R-2E,Mutual Fund
AFMBX,American Funds American Balanced Fund,Mutual Fund
CIREX,American Funds Capital Income Builder Class 529-E,Mutual Fund
CAIBX,American Funds Capital Income Builder Class A,Mutual Fund
RIRHX,American Funds Capital Income Builder,Mutual Fund
RIRBX,American Funds Capital Income Builder Class R-2,Mutual Fund
RIRCX,American Funds Capital Income Builder Class R-3,Mutual Fund
CAIFX,American Funds Capital Income Builder,Mutual Fund
CIRFX,American Funds Capital Income Builder,Mutual Fund
FBCIX,American Funds Capital Income Builder,Mutual Fund
RIREX,American Funds Capital Income Builder Class R-4,Mutual Fund
RIRAX,American Funds Capital Income Builder,Mutual Fund
CIBCX,American Funds Capital Income Builder Class C,Mutual Fund
CIBFX,American Funds Capital Income Builder,Mutual Fund
RIRFX,American Funds Capital Income Builder,Mutual Fund
FWCBX,American Funds Capital Income Builder,Mutual Fund
CFIHX,American Funds Capital Income Builder,Mutual Fund
RIRGX,American Funds Capital Income Builder,Mutual Fund
CIRCX,Capital Income Builder Class 529-C Shares,Mutual Fund
RCEEX,American Funds Capital Income Builder Class R-2E,Mutual Fund
CIRAX,American Funds Capital Income Builder Class 529-A,Mutual Fund
DODGX,Dodge & Cox Stock Fund - Class I,Mutual Fund
CFAEX,American Funds The Bond Fund of America,Mutual Fund
BFAFX,American Funds The Bond Fund of America Class F-1,Mutual Fund
BFFAX,American Funds The Bond Fund of America Class F-3,Mutual Fund
ABNFX,American Funds The Bond Fund of America Class F-2,Mutual Fund
CFAFX,American Funds The Bond Fund of America,Mutual Fund
RBFEX,American Funds The Bond Fund of America Class R-4,Mutual Fund
RBFFX,American Funds The Bond Fund of America Class R-5,Mutual Fund
CFAAX,American Funds The Bond Fund of America Class 529-A,Mutual Fund
RBFGX,American Funds The Bond Fund of America Class R-6,Mutual Fund
CFACX,American Funds The Bond Fund of America,Mutual Fund
FFBOX,American Funds The Bond Fund of America,Mutual Fund
RBEBX,American Funds The Bond Fund of America Class R-2E,Mutual Fund
RBFAX,American Funds The Bond Fund of America Class R-1,Mutual Fund
RBFBX,American Funds The Bond Fund of America Class R-2,Mutual Fund
RBFCX,American Funds The Bond Fund of America Class R-3,Mutual Fund
ABNDX,American Funds The Bond Fund of America Class A,Mutual Fund
FBOFX,American Funds The Bond Fund of America,Mutual Fund
BFACX,American Funds The Bond Fund of America Class C,Mutual Fund
RBFHX,American Funds The Bond Fund of America Class R-5E,Mutual Fund
DODIX,Dodge & Cox Income Fund,Mutual Fund
VWINX,Vanguard Wellesley Income Fund,Mutual Fund
VWIAX,Vanguard Wellesley Income Fund Admiral Shares,Mutual Fund
CNWEX,American Funds New World Fund Class 529-E,Mutual Fund
RNWCX,American Funds New World Fund,Mutual Fund
RNWFX,American Funds New World Fund Class R-5,Mutual Fund
CNWAX,American Funds New World Fund Class 529-A,Mutual Fund
RNWBX,American Funds New World Fund,Mutual Fund
FWWNX,American Funds New World Fund,Mutual Fund
CNWCX,American Funds New World Fund Class 529-C,Mutual Fund
RNEBX,American Funds New World Fund,Mutual Fund
RNWAX,American Funds New World Fund,Mutual Fund
FNFWX,American Funds New World Fund,Mutual Fund
CNWFX,American Funds New World Fund Class 529-F,Mutual Fund
FNWFX,American Funds New World Fund,Mutual Fund
NFFFX,American Funds New World Fund,Mutual Fund
NEWFX,American Funds New World Fund Class A,Mutual Fund
RNWEX,American Funds - New World Fund Inc Class R-4 Shares,Mutual Fund
NWFFX,American Funds New World Fund Class F-1,Mutual Fund
RNWHX,American Funds New World Fund Class R-5E,Mutual Fund
NEWCX,American Funds New World Fund Class C,Mutual Fund
RNWGX,American Funds New World Fund Class R-6,Mutual Fund
TRAIX,T. Rowe Price Capital Appreciation Fund,Mutual Fund
PACLX,T. Rowe Price Capital Appreciation Fund,Mutual Fund
PRWCX,T. Rowe Price Capital Appreciation Fund,Mutual Fund
FRGLX,First Eagle Global Fund Class R5,Mutual Fund
EAGRX,First Eagle Global Fund Class R4,Mutual Fund
FESGX,First Eagle Global Fund Class C,Mutual Fund
FEGRX,First Eagle Global Fund Class R6,Mutual Fund
SGENX,First Eagle Global Fund,Mutual Fund
EARGX,First Eagle Global Fund Class R3,Mutual Fund
SGIIX,First Eagle Global Fund,Mutual Fund
JLGRX,JPMorgan Large Cap Growth Fund,Mutual Fund
OLGAX,JPMorgan Large Cap Growth Fund,Mutual Fund
JLGZX,JPMorgan Large Cap Growth Fund,Mutual Fund
OLGCX,JPMorgan Large Cap Growth Fund Class C,Mutual Fund
JLGPX,JPMorgan Large Cap Growth Fund,Mutual Fund
JLGMX,JPMorgan Large Cap Growth Fund,Mutual Fund
JLGQX,JPMorgan Large Cap Growth Fund,Mutual Fund
SEEGX,JPMorgan Large Cap Growth Fund I Class,Mutual Fund
FDGRX,Fidelity Growth Company Fund,Mutual Fund
XOM,Exxon Mobil Corporation,Equity
TSM,Taiwan Semiconductor Manufacturing Company Limited,Equity
JPM,JPMorgan Chase & Co.,Equity
CVX,Chevron Corporation,Equity
PFE,Pfizer Inc.,Equity
BHP,BHP Group Limited,Equity
TM,Toyota Motor Corporation,Equity
TTE,TotalEnergies SE,Equity
HSBC,HSBC Holdings plc,Equity
SNY,Sanofi,Equity
INTC,Intel Corporation,Equity
QCOM,QUALCOMM Incorporated,Equity
UL,Unilever PLC,Equity
COP,ConocoPhillips,Equity
DE,Deere & Company,Equity
C,Citigroup Inc.,Equity
RIO,Rio Tinto Group,Equity
SCHW,The Charles Schwab Corporation,Equity
EQNR,Equinor ASA,Equity
CB,Chubb Limited,Equity
BTI,British American Tobacco p.l.c.,Equity
CI,The Cigna Group,Equity
IBN,ICICI Bank Limited,Equity
VALE,Vale S.A.,Equity
EOG,"EOG Resources, Inc.",Equity
PBR,Petróleo Brasileiro S.A. - Petrobras,Equity
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Equity
SAN,"Banco Santander, S.A.",Equity
FCX,Freeport-McMoRan Inc.,Equity
OXY,Occidental Petroleum Corporation,Equity
MPC,Marathon Petroleum Corporation,Equity
STLA,Stellantis N.V.,Equity
CHTR,"Charter Communications, Inc.",Equity
NGG,National Grid plc,Equity
E,Eni S.p.A.,Equity
PNC,"The PNC Financial Services Group, Inc.",Equity
GM,General Motors Company,Equity
PXD,Pioneer Natural Resources Company,Equity
VLO,Valero Energy Corporation,Equity
PSX,Phillips 66,Equity
ITUB,Itaú Unibanco Holding S.A.,Equity
ING,ING Groep N.V.,Equity
HMC,"Honda Motor Co., Ltd.",Equity
TFC,Truist Financial Corporation,Equity
HES,Hess Corporation,Equity
LYG,Lloyds Banking Group plc,Equity
ADM,Archer-Daniels-Midland Company,Equity
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Equity
KMI,"Kinder Morgan, Inc.",Equity
ET,Energy Transfer LP,Equity
DOW,Dow Inc.,Equity
AIG,"American International Group, Inc.",Equity
MFG,"Mizuho Financial Group, Inc.",Equity
NUE,Nucor Corporation,Equity
COF,Capital One Financial Corporation,Equity
CRH,CRH plc,Equity
NTR,Nutrien Ltd.,Equity
DVN,Devon Energy Corporation,Equity
CVE,Cenovus Energy Inc.,Equity
ON,ON Semiconductor Corporation,Equity
ORAN,Orange S.A.,Equity
DHI,"D.R. Horton, Inc.",Equity
NWG,NatWest Group plc,Equity
AMP,"Ameriprise Financial, Inc.",Equity
BNTX,BioNTech SE,Equity
VOD,Vodafone Group Public Limited Company,Equity
HAL,Halliburton Company,Equity
BCS,Barclays PLC,Equity
OKE,"ONEOK, Inc.",Equity
HPQ,HP Inc.,Equity
LEN-B,Lennar Corporation,Equity
LEN,Lennar Corporation,Equity
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Equity
FERG,Ferguson plc,Equity
FANG,"Diamondback Energy, Inc.",Equity
ACGL,Arch Capital Group Ltd.,Equity
TEF,"Telefónica, S.A.",Equity
DFS,Discover Financial Services,Equity
URI,"United Rentals, Inc.",Equity
TROW,"T. Rowe Price Group, Inc.",Equity
ALB,Albemarle Corporation,Equity
MT,ArcelorMittal S.A.,Equity
EC,Ecopetrol S.A.,Equity
UMC,United Microelectronics Corporation,Equity
HIG,"The Hartford Financial Services Group, Inc.",Equity
DAL,"Delta Air Lines, Inc.",Equity
RYAAY,Ryanair Holdings plc,Equity
SQM,Sociedad Química y Minera de Chile S.A.,Equity
PKX,POSCO Holdings Inc.,Equity
LH,Laboratory Corporation of America Holdings,Equity
CNHI,CNH Industrial N.V.,Equity
MTB,M&T Bank Corporation,Equity
ERIC,Telefonaktiebolaget LM Ericsson (publ),Equity
RJF,"Raymond James Financial, Inc.",Equity
CNP,"CenterPoint Energy, Inc.",Equity
IX,ORIX Corporation,Equity
CTRA,Coterra Energy Inc.,Equity
ELP,Companhia Paranaense de Energia - COPEL,Equity
SWKS,"Skyworks Solutions, Inc.",Equity
STLD,"Steel Dynamics, Inc.",Equity
^SP500-50203010,S&P 500 Interactive Media & Ser,Index
^SP500-502030,S&P 500 Interactive Media & Ser,Index
^SP1500-502030,S&P Composite 1500 Interactive,Index
^SP1500-50203010,S&P Composite 1500 Interactive,Index
^DJUSNS,Dow Jones U.S. Internet Index,Index
^SP500-5020,S&P 500 Media & Entertainment (,Index
^SP1500-5020,S&P Composite 1500 Media & Ente,Index
^DJUSSV,Dow Jones U.S. Software & Compu,Index
^SP500-50,S&P 500 Telecommunication Services (Sector),Index
^SP1500-50,S&P Composite 1500 Communicatio,Index
^DJUSSW,Dow Jones U.S. Software Index,Index
^SP1500-40101015,S&P Composite 1500 Regional Ban,Index
^DJUSTC,Dow Jones U.S. Technology Index,Index
^SP1500-4010,S&P Composite 1500 Banks (Indus,Index
^SP1500-401010,S&P Composite 1500 Banks (Indus,Index
^DJUSBK,Dow Jones U.S. Banks Index,Index
^SP500-4010,S&P 500 Banks (Industry Group),Index
^SP500-401010,S&P 500 Banks (Industry),Index
^IXIC,NASDAQ Composite,Index
^NDX,NASDAQ 100,Index
^SP500-40101010,S&P 500 Diversified Banks (Sub,Index
^SP1500-40101010,S&P Composite 1500 Diversified,Index
^DJUSUT,Dow Jones U.S. Utilities Index,Index
^SP1500-6010,S&P Composite 1500 Real Estate,Index
^SP1500-60,S&P Composite 1500 Real Estate,Index
^SP500-45,S&P 500 Information Technology (Sector),Index
^DJUSRE,Dow Jones U.S. Real Estate Inde,Index
^SP1500-45,S&P Composite 1500 Information,Index
^DJUSRI,Dow Jones U.S. Real Estate Inve,Index
^SP100,S&P 100,Index
^DJUSIS,Dow Jones U.S. Support Services,Index
^DJUSPN,Dow Jones U.S. Pharmaceuticals,Index
^SP1500-2550,S&P Composite 1500 Retailing (I,Index
^DJUSME,Dow Jones U.S. Media Index,Index
^SPX,S&P 500 INDEX,Index
^GSPC,S&P 500,Index
^DJUSFN,Dow Jones U.S. Financials Index,Index
^SP1500-40,S&P Composite 1500 Financials (,Index
^DJUSGT,Dow Jones U.S. General Retailer,Index
^SPTMI,S&P TMI,Index
^SP1500,S&P Composite 1500,Index
^SP500-40,S&P 500 Financials (Sector),Index
^SP1500-3520,S&P Composite 1500 - Pharmaceut,Index
^DJUSHC,Dow Jones U.S. Health Care Inde,Index
^SP1500-35,S&P Composite 1500 Health Care,Index
^SPTEST1,S&P GLOBAL 1200 Materials (Indu,Index
^SP500-35,S&P 500 Health Care (Sector),Index
^DJUSBC,Dow Jones U.S. Broadcasting & E,Index
^DJA,Dow Jones Composite Average,Index
^SP1500-4520,S&P Composite 1500 Technology H,Index
^SPCBMIRWDUSD1,S&P Developed BMI (USD),Index
^DJUSRT,Dow Jones U.S. Retail Index,Index
^SP500-30,S&P 500 Consumer Staples (Sector),Index
^DJUSCY,Dow Jones U.S. Consumer Service,Index
^SP1500-30,S&P Composite 1500 Consumer Sta,Index
^DJUSTQ,Dow Jones U.S. Technology Hardw,Index
^SP500-25,S&P 500 Consumer Discretionary (Sector),Index
^SP1500-4020,S&P Composite 1500 Diversified,Index
^SP500-4020,S&P 500 Diversified Financials (Industry Group),Index
^SP600,S&P 600,Index
^SP500-45301020,S&P 500 Semiconductors (Sub Ind),Index
^DJI2MN,Dow Jones Industrial Average (2,Index
^DJI,Dow Jones Industrial Average,Index
^SP1500-25,S&P Composite 1500 Consumer Dis,Index
^DJUSIG,Dow Jones U.S. Industrial Goods,Index
^DJUSIN,Dow Jones U.S. Industrials Inde,Index
^DJUSNG,Dow Jones U.S. Personal & House,Index
^SP1500-45301020,S&P Composite 1500 Semiconducto,Index
^SP500-20,S&P 500 Industrials (Sector),Index
^DJUSNC,Dow Jones U.S. Consumer Goods I,Index
^SP1500-20,S&P Composite 1500 Industrials,Index
^SP500-453010,S&P 500 Semiconductor & Semiconductor Equipment (Industry),Index
^SP500-4530,S&P 500 Semiconductors & Semiconductor Equipment (Industry Group),Index
^SP400,S&P 400,Index
^DJUSCG,Dow Jones U.S. Travel & Leisure,Index
^SP1500-4530,S&P Composite 1500 Semiconducto,Index
^SP1500-453010,S&P Composite 1500 Semiconducto,Index
^SP1500-1510,S&P Composite 1500 Materials (I,Index
^SP1500-15,S&P Composite 1500 Materials (S,Index
^DJUSSC,Dow Jones U.S. Semiconductors I,Index
^DJUSFI,Dow Jones U.S. Financial Servic,Index
^DJUSGF,Dow Jones U.S. Financial Servic,Index
^DJUSBM,Dow Jones U.S. Basic Materials,Index
^SP500-25102010,S&P 500 Automobile Manufacturers (Sub Ind),Index
^SP1500-25102010,S&P Composite 1500 Automobile M,Index
^SP500-251020,S&P 500 Automobiles (Industry),Index
^SP1500-251020,S&P Composite 1500 Automobiles,Index
^DJUSAU,Dow Jones U.S. Automobiles Inde,Index
^SP1500-2010,S&P Composite 1500 Capital Good,Index
^DJUSAP,Dow Jones U.S. Automobiles & Pa,Index
^SP500-2510,S&P 500 Automobiles & Components (Industry Group),Index
^SP1500-2510,S&P Composite 1500 Automobiles,Index
^SP1500-101020,"S&P Composite 1500 Oil, Gas & C",Index
^SP500-101020,"S&P 500 Oil, Gas & Consumable Fuels (Industry)",Index
^DJUSEN,Dow Jones U.S. Oil & Gas Index,Index
^SP1500-10,S&P Composite 1500 Energy (Sect,Index
^SP1500-1010,S&P Composite 1500 Energy (Indu,Index
^SP500-1010,S&P 500 Energy (Industry Group),Index
^GSPE,S&P 500 Energy (Sector),Index
^DJUSOG,Dow Jones U.S. Oil & Gas Produc,Index
