Symbol	Underlying Symbol	Name	Strike	Expiration Date	Price (Intraday)	Change	% Change	Bid	Ask	Volume	Open Interest
VIX230621C00030000	^VIX	I:VIX Jun 2023 30.000 call	30.00	2023-06-20	1.5500	-0.0700	-4.32%	1.52	1.58	21,620	445,668
VIX230621C00040000	^VIX	I:VIX Jun 2023 40.000 call	40.00	2023-06-20	0.8000	-0.0300	-3.61%	0.78	0.85	1,064	432,428
HYG230421P00072000	HYG	HYG Apr 2023 72.000 put	72.00	2023-04-20	0.1000	-0.0300	-23.08%	0.09	0.12	23,214	394,164
QQQ230616P00240000	QQQ	QQQ Jun 2023 240.000 put	240.00	2023-06-15	0.6800	-0.0900	-11.69%	0.66	0.68	879	320,590
HYG230421P00060000	HYG	HYG Apr 2023 60.000 put	60.00	2023-04-20	0.0100	0.0000	0.00%	0.00	0.03	24	306,448
VIX230419C00030000	^VIX	I:VIX Apr 2023 30.000 call	30.00	2023-04-18	0.1500	-0.0500	-25.00%	0.13	0.19	11,083	280,174
VIX230517C00050000	^VIX	I:VIX May 2023 50.000 call	50.00	2023-05-16	0.2200	-0.0300	-12.00%	0.20	0.26	1,823	245,672
AMC230421P00002000	AMC	AMC Apr 2023 2.000 put	2.00	2023-04-20	0.0300	-0.1300	-81.25%	0.02	0.04	5,189	237,835
ATVI240119P00085000	ATVI	ATVI Jan 2024 85.000 put	85.00	2024-01-18	5.99	+0.19	+3.28%	5.90	6.05	719	237,286
VIX230419C00025000	^VIX	I:VIX Apr 2023 25.000 call	25.00	2023-04-18	0.3700	-0.1100	-22.92%	0.36	0.41	34,487	223,851
HYG230616P00072000	HYG	HYG Jun 2023 72.000 put	72.00	2023-06-15	0.7000	-0.0900	-11.39%	0.65	0.73	6,042	209,726
HYG230421P00071000	HYG	HYG Apr 2023 71.000 put	71.00	2023-04-20	0.0600	-0.0200	-25.00%	0.05	0.07	23,028	207,904
HYG230421P00069000	HYG	HYG Apr 2023 69.000 put	69.00	2023-04-20	0.0400	+0.0300	+300.00%	0.01	0.05	261	207,418
HYG230421P00073000	HYG	HYG Apr 2023 73.000 put	73.00	2023-04-20	0.1600	-0.0900	-36.00%	0.15	0.19	16,412	199,526
VIX230517C00030000	^VIX	I:VIX May 2023 30.000 call	30.00	2023-05-16	0.9100	-0.0900	-9.00%	0.88	0.96	29,305	194,415
HYG230616P00066000	HYG	HYG Jun 2023 66.000 put	66.00	2023-06-15	0.1700	-0.0200	-10.53%	0.15	0.20	1	191,719
EEM230616C00047000	EEM	EEM Jun 2023 47.000 call	47.00	2023-06-15	0.0200	0.0000	0.00%	0.01	0.03	18	191,239
SPY230421P00385000	SPY	SPY Apr 2023 385.000 put	385.00	2023-04-20	0.4600	-0.2300	-33.33%	0.45	0.46	4,665	188,036
