Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
PMBJX	Principal MidCap Fund Class J	+0.07	+0.23%	29.82	30.32	29.95	1.36%	4.00%
PMAQX	PRINCIPAL MIDCAP FUND Class R-6	+0.07	+0.22%	32.43	32.96	32.49	1.37%	4.07%
PEMGX	Principal MidCap Fund	+0.07	+0.22%	31.13	31.66	31.26	1.30%	3.97%
PMBMX	Principal MidCap Fund R-3 Class	+0.07	+0.23%	30.03	30.54	30.20	1.24%	3.94%
PMBPX	Principal MidCap Fund R-5 Class	+0.08	+0.25%	31.66	32.19	31.77	1.34%	4.00%
PMBCX	Principal MidCap Fund	+0.07	+0.27%	26.30	26.77	26.58	1.11%	3.78%
PMBSX	Principal MidCap Fund	+0.08	+0.25%	31.80	32.34	31.92	1.30%	3.98%
PMSBX	Principal MidCap Fund R-1 Class	+0.06	+0.22%	27.58	28.06	27.81	1.17%	3.83%
PCBIX	Principal MidCap Fund	+0.08	+0.25%	32.39	32.93	32.47	1.37%	4.07%
JMGRX	Janus Henderson Enterprise Fund	+0.20	+0.16%	127.71	130.19	130.96	3.35%	6.03%
JDMAX	Janus Henderson Enterprise Fund Class A	+0.19	+0.16%	121.06	123.45	124.72	3.27%	5.94%
JAENX	Janus Henderson Enterprise Fund	+0.21	+0.17%	125.32	127.77	128.73	3.33%	6.00%
JDMNX	Janus Henderson Enterprise Fund - N Shares	+0.21	+0.16%	128.57	131.05	131.74	N/A	N/A
JANEX	Janus Henderson Enterprise Fund	+0.21	+0.17%	126.68	129.14	129.99	3.36%	6.03%
JGRCX	Janus Henderson Enterprise Fund	+0.16	+0.15%	104.44	106.55	108.90	3.16%	5.81%
JGRTX	Janus Henderson Enterprise Fund	+0.19	+0.16%	119.88	122.25	123.60	3.26%	5.93%
JDMRX	Janus Henderson Enterprise Fund	+0.17	+0.15%	113.37	115.64	117.43	3.19%	5.85%
BGRIX	Baron Growth Fund	+0.24	+0.25%	94.80	96.24	92.95	3.46%	6.20%
BGRFX	Baron Growth Fund	+0.23	+0.26%	89.98	91.36	88.44	N/A	N/A
BGRUX	Baron Growth Fund	+0.24	+0.25%	94.81	96.25	92.95	3.46%	6.20%
POAGX	PRIMECAP Odyssey Aggressive Growth Fund	+0.36	+0.92%	39.20	39.84	39.86	N/A	N/A
HARSX	Carillon Eagle Mid Cap Growth Fund	-0.10	-0.14%	73.51	75.53	74.68	2.21%	3.06%
HRAUX	Carillon Eagle Mid Cap Growth Fund	-0.10	-0.13%	74.69	76.74	75.84	2.25%	3.08%
HAGCX	Carillon Eagle Mid Cap Growth Fund Class C	-0.06	-0.12%	49.17	50.57	50.35	1.97%	2.78%
HAGAX	Carillon Eagle Mid Cap Growth Fund	-0.09	-0.13%	67.96	69.85	69.17	2.15%	2.97%
HAGIX	Carillon Eagle Mid Cap Growth Fund Class I	-0.10	-0.14%	73.79	75.82	74.96	2.22%	3.06%
HRAYX	Carillon Eagle Mid Cap Growth Fund	-0.09	-0.12%	72.34	74.35	73.59	2.15%	2.98%
